id,transgenic-line,product-id,structure-id,structure-abbrev,structure-name,name,injection-volume,injection-structures,gender,strain,sum,structure-color,num-voxels,injection-coordinates,selected,experiment_page_url
553092069,Ntsr1-Cre_GN220,35,1002,AUDp,Primary auditory area,Ntsr1-Cre_GN220-271816,0.0671303234,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}]",F,"",0.5913365913,019399,,"[7980, 2480, 1850]",false,https://connectivity.brain-map.org/projection/experiment/553092069
556922099,Cux2-IRES-Cre,35,1027,AUDpo,Posterior auditory area,Cux2-IRES-Cre-274795,0.0670449605,"[{""id""=>402, ""abbreviation""=>""VISal"", ""name""=>""Anterolateral visual area"", ""color""=>""08858C""}, {""id""=>541, ""abbreviation""=>""TEa"", ""name""=>""Temporal association areas"", ""color""=>""15B0B3""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}, {""id""=>312782574, ""abbreviation""=>""VISli"", ""name""=>""Laterointermediate area"", ""color""=>""08858C""}]",F,C57BL/6J,0.57531083015,019399,,"[8250, 1920, 1740]",false,https://connectivity.brain-map.org/projection/experiment/556922099
182886547,Sst-IRES-Cre,5,1002,AUDp,Primary auditory area,Sst-IRES-Cre-180,0.1861256964,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}, {""id""=>1018, ""abbreviation""=>""AUDv"", ""name""=>""Ventral auditory area"", ""color""=>""019399""}]",M,"",0.5035722846,019399,,"[7490, 3070, 9810]",false,https://connectivity.brain-map.org/projection/experiment/182886547
557341233,Ntsr1-Cre_GN220,36,1027,AUDpo,Posterior auditory area,Ntsr1-Cre_GN220-275952,0.02880013955,"[{""id""=>541, ""abbreviation""=>""TEa"", ""name""=>""Temporal association areas"", ""color""=>""15B0B3""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}]",M,unknown,0.5018327503,019399,,"[8210, 2480, 1810]",false,https://connectivity.brain-map.org/projection/experiment/557341233
166268376,Scnn1a-Tg3-Cre,5,1002,AUDp,Primary auditory area,Scnn1a-Tg3-Cre-4778,0.0265108326,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",M,B6.C3H,0.43205812229999996,019399,,"[7690, 2560, 10050]",false,https://connectivity.brain-map.org/projection/experiment/166268376
303582161,Tlx3-Cre_PL56,5,1002,AUDp,Primary auditory area,Tlx3-Cre-135572,0.012041410675,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}]",F,"",0.35590897159999996,019399,,"[7590, 3100, 10290]",false,https://connectivity.brain-map.org/projection/experiment/303582161
293820681,Sim1-Cre_KJ18,5,1002,AUDp,Primary auditory area,Sim1-Cre_KJ18-120878,0.015441766899999999,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",F,"",0.2656159023,019399,,"[7740, 2670, 10030]",false,https://connectivity.brain-map.org/projection/experiment/293820681
165975810,Cort-T2A-Cre,5,1002,AUDp,Primary auditory area,Cort-T2A-Cre-106,0.34124556479999996,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}, {""id""=>1018, ""abbreviation""=>""AUDv"", ""name""=>""Ventral auditory area"", ""color""=>""019399""}]",M,"",0.24092389212499998,019399,,"[7290, 3060, 10100]",false,https://connectivity.brain-map.org/projection/experiment/165975810
124060405,Syt6-Cre_KI148,5,1002,AUDp,Primary auditory area,Syt6-Cre-587,0.03397580865,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",M,C57BL/6J,0.23251119329375,019399,,"[7780, 2800, 9660]",false,https://connectivity.brain-map.org/projection/experiment/124060405
182686935,Trib2-F2A-CreERT2,5,1002,AUDp,Primary auditory area,Trib2-2A-CreERT2-D-3220,0.011713409575,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}]",F,B6.129,0.19787325039999998,019399,,"[7830, 2690, 10080]",false,https://connectivity.brain-map.org/projection/experiment/182686935
